iter	Logloss
0	0.6915854978
1	0.6899943783
2	0.6885586901
3	0.6871556959
4	0.6857763221
5	0.6844674386
6	0.6834659785
7	0.6822472789
8	0.6811606819
9	0.6800181606
10	0.6789567507
11	0.6780549398
12	0.6772565639
13	0.6761036489
14	0.6752526609
15	0.6743973034
16	0.6736019056
17	0.6727699622
18	0.6720093341
19	0.6712035424
20	0.670403932
21	0.669638299
22	0.6689714385
23	0.6684913956
24	0.6677770717
25	0.6671861835
26	0.666578755
27	0.6660082394
28	0.6654839933
29	0.6648331389
30	0.6643701627
31	0.6638459473
32	0.6633676471
33	0.6628300961
34	0.6622534265
35	0.6616416715
36	0.6612051973
37	0.6607813606
38	0.6604230444
39	0.6599743478
40	0.6595503577
41	0.6591618521
42	0.6586526704
43	0.6581712325
44	0.657795493
45	0.6574660883
46	0.6571572768
47	0.6568654488
48	0.6565748742
49	0.6563322217
50	0.6559519391
51	0.6556315194
52	0.6552973968
53	0.6549729689
54	0.654707221
55	0.654486934
56	0.6542999908
57	0.6540953804
58	0.6538336252
59	0.6536240374
60	0.6533215015
61	0.65301704
62	0.6525691385
63	0.6523969192
64	0.6522549116
65	0.6520458587
66	0.6517833909
67	0.6517098271
68	0.651505091
69	0.6513439022
70	0.6511789154
71	0.6508167409
72	0.6505450313
73	0.6502942298
74	0.6498909649
75	0.6497741742
76	0.6494611875
77	0.6492071906
78	0.648964545
79	0.6487913038
80	0.6486218981
81	0.6483476209
82	0.648076392
83	0.6478536079
84	0.6476789404
85	0.6475064989
86	0.6472538688
87	0.647033479
88	0.6468739641
89	0.6467446091
90	0.6465167579
91	0.6462661133
92	0.6460473114
93	0.6459126396
94	0.6457363308
95	0.6456201354
96	0.6454748797
97	0.6452189554
98	0.6450586071
99	0.6448940976
100	0.644738172
101	0.6446010679
102	0.6443941297
103	0.6442356546
104	0.6441181654
105	0.643939238
106	0.64378117
107	0.6436027331
108	0.6434421254
109	0.6434227908
110	0.6433297081
111	0.6431640434
112	0.6430330557
113	0.6428240327
114	0.6427123757
115	0.6426466877
116	0.6424702611
117	0.6423679889
118	0.6422725431
119	0.6421208902
120	0.6418983638
121	0.641683777
122	0.6415795989
123	0.6414511062
124	0.6413213276
125	0.6411580799
126	0.6410067025
127	0.6409272498
128	0.6407439708
129	0.6406268894
130	0.6405448064
131	0.6403619251
132	0.6401681098
133	0.6400583572
134	0.6399135681
135	0.6396865066
136	0.6395710848
137	0.6394779435
138	0.6393860325
139	0.6392590399
140	0.6390953268
141	0.63893462
142	0.638836058
143	0.6386973733
144	0.6386903384
145	0.6385835872
146	0.6384549463
147	0.638367181
148	0.6382246829
149	0.6381081269
150	0.6380248535
151	0.637965943
152	0.6377992192
153	0.6376460404
154	0.6375916937
155	0.6374079489
156	0.6372368427
157	0.6371002433
158	0.6370235815
159	0.6369357114
160	0.6368381017
161	0.6367195897
162	0.6366431451
163	0.6364590741
164	0.6363811713
165	0.6363372606
166	0.6362016422
167	0.6360105474
168	0.6358828553
169	0.635811379
170	0.6357161994
171	0.6355526422
172	0.635449992
173	0.6353244807
174	0.6351906403
175	0.6350601219
176	0.6348901489
177	0.6347793158
178	0.6345702997
179	0.6344136073
180	0.6342946155
181	0.6342254397
182	0.6341506442
183	0.6340413181
184	0.6339900274
185	0.6338426064
186	0.6336905814
187	0.6335813181
188	0.6334249957
189	0.633351246
190	0.6331825598
191	0.6330423233
192	0.632978306
193	0.6328498618
194	0.6327633608
195	0.63252884
196	0.6324194187
197	0.632293077
198	0.632130737
199	0.6319830794
200	0.6318823615
201	0.6317688872
202	0.6316959371
203	0.6316022031
204	0.6315161728
205	0.6314471168
206	0.6313229993
207	0.6312166316
208	0.6310247305
209	0.6309352592
210	0.6308123874
211	0.6306659212
212	0.6305975447
213	0.630521643
214	0.630457635
215	0.6302716711
216	0.6301889006
217	0.6299743944
218	0.6298822286
219	0.6297615349
220	0.629654248
221	0.6296332082
222	0.6296285775
223	0.6295673945
224	0.6294258839
225	0.6293918379
226	0.6292191764
227	0.6291299191
228	0.6289658234
229	0.6288559901
230	0.6287477853
231	0.6285908446
232	0.6284763562
233	0.6283447848
234	0.6282219933
235	0.6281079211
236	0.6278536157
237	0.6277372311
238	0.6276114457
239	0.6275521991
240	0.6274748796
241	0.6272952837
242	0.6271025689
243	0.6270291856
244	0.62686119
245	0.626840594
246	0.6267423784
247	0.6266639392
248	0.6265573518
249	0.6264684754
250	0.626245367
251	0.6261112307
252	0.6259889694
253	0.6259000797
254	0.625788421
255	0.6256975173
256	0.6256436665
257	0.6255374246
258	0.6254056052
259	0.6253996471
260	0.6252523167
261	0.6251738206
262	0.6250784263
263	0.6250331234
264	0.6249443626
265	0.6249025011
266	0.624834922
267	0.6248027036
268	0.624788272
269	0.6246702247
270	0.6246232583
271	0.6244736427
272	0.6243946842
273	0.6242582071
274	0.6242103497
275	0.6240483921
276	0.6239648947
277	0.6239071797
278	0.6237814006
279	0.623643181
280	0.6235371017
281	0.6234604754
282	0.6233005874
283	0.623212267
284	0.6231498109
285	0.6230595342
286	0.6229671047
287	0.6229092109
288	0.6228009676
289	0.622652508
290	0.6226203578
291	0.6224715152
292	0.6224493249
293	0.6223180264
294	0.6222273937
295	0.6221226053
296	0.6219493372
297	0.6218734431
298	0.6217333757
299	0.6216655891
300	0.6215236578
301	0.6213496495
302	0.62118838
303	0.6210917627
304	0.6209868816
305	0.620892709
306	0.6207616149
307	0.6206757268
308	0.6205442506
309	0.6204055017
310	0.6202881285
311	0.6202123968
312	0.6200914505
313	0.6198934822
314	0.6198114241
315	0.6197729323
316	0.6195647604
317	0.6194528134
318	0.6193407741
319	0.6192261866
320	0.6191649902
321	0.6190298613
322	0.618939246
323	0.6188612722
324	0.6188229321
325	0.6187696216
326	0.6185905472
327	0.6185811616
328	0.6183641591
329	0.6183096802
330	0.6182206114
331	0.6181001505
332	0.618072772
333	0.6180053088
334	0.6178309085
335	0.617728189
336	0.6176522538
337	0.6175771151
338	0.6175409203
339	0.6174093518
340	0.6173399781
341	0.6171358892
342	0.6170665074
343	0.6169426056
344	0.6168739407
345	0.6167985572
346	0.6166588338
347	0.6165747871
348	0.6164892768
