iter	Passed	Remaining
0	12	12645
1	24	12234
2	34	11591
3	45	11253
4	55	11137
5	66	11040
6	71	10117
7	82	10212
8	93	10322
9	103	10285
10	114	10295
11	123	10169
12	132	10053
13	142	10067
14	153	10091
15	165	10157
16	175	10158
17	185	10115
18	197	10171
19	208	10200
20	218	10173
21	228	10173
22	238	10128
23	243	9885
24	253	9888
25	264	9896
26	275	9926
27	286	9937
28	296	9929
29	308	9962
30	317	9915
31	328	9924
32	338	9921
33	348	9898
34	359	9903
35	370	9926
36	381	9938
37	391	9917
38	402	9924
39	414	9938
40	423	9905
41	434	9921
42	445	9913
43	456	9922
44	467	9915
45	477	9906
46	487	9888
47	498	9891
48	505	9816
49	516	9815
50	526	9797
51	537	9802
52	547	9786
53	557	9765
54	568	9771
55	580	9793
56	594	9834
57	608	9877
58	627	10011
59	641	10056
60	654	10078
61	667	10103
62	679	10113
63	691	10117
64	704	10127
65	717	10147
66	729	10157
67	734	10064
68	747	10083
69	758	10082
70	768	10061
71	786	10131
72	808	10264
73	826	10344
74	850	10493
75	870	10588
76	891	10687
77	907	10731
78	928	10820
79	951	10946
80	974	11052
81	1003	11239
82	1039	11485
83	1052	11478
84	1066	11480
85	1081	11496
86	1098	11530
87	1117	11580
88	1136	11633
89	1150	11634
90	1164	11627
91	1179	11640
92	1190	11610
93	1202	11592
94	1215	11577
95	1225	11540
96	1236	11511
97	1248	11486
98	1259	11459
99	1270	11435
100	1283	11421
101	1293	11387
102	1305	11366
103	1316	11344
104	1328	11323
105	1339	11298
106	1351	11275
107	1361	11247
108	1371	11213
109	1375	11126
110	1379	11052
111	1391	11033
112	1402	11010
113	1414	10990
114	1425	10968
115	1436	10947
116	1448	10929
117	1459	10906
118	1469	10877
119	1480	10860
120	1492	10844
121	1508	10852
122	1519	10832
123	1530	10813
124	1542	10798
125	1554	10785
126	1566	10768
127	1579	10760
128	1593	10758
129	1606	10749
130	1618	10734
131	1632	10731
132	1644	10717
133	1658	10715
134	1670	10704
135	1682	10686
136	1695	10677
137	1706	10660
138	1721	10662
139	1733	10650
140	1744	10630
141	1757	10617
142	1767	10594
143	1780	10585
144	1785	10529
145	1796	10506
146	1807	10488
147	1819	10472
148	1830	10453
149	1841	10436
150	1852	10416
151	1862	10392
152	1874	10375
153	1885	10357
154	1897	10341
155	1908	10326
156	1920	10310
157	1931	10295
158	1943	10282
159	1955	10266
160	1966	10250
161	1978	10232
162	1990	10223
163	2003	10212
164	2016	10207
165	2027	10184
166	2039	10173
167	2049	10151
168	2062	10140
169	2073	10125
170	2085	10112
171	2096	10093
172	2107	10076
173	2118	10057
174	2130	10042
175	2140	10023
176	2152	10008
177	2163	9993
178	2175	9976
179	2187	9964
180	2200	9956
181	2212	9943
182	2225	9934
183	2237	9923
184	2249	9908
185	2261	9897
186	2274	9888
187	2286	9873
188	2296	9855
189	2306	9833
190	2318	9820
191	2330	9806
192	2342	9796
193	2357	9793
194	2370	9787
195	2383	9775
196	2393	9757
197	2404	9740
198	2415	9724
199	2425	9703
200	2436	9683
201	2445	9662
202	2458	9651
203	2469	9635
204	2480	9620
205	2491	9603
206	2501	9584
207	2513	9570
208	2524	9556
209	2536	9541
210	2548	9528
211	2560	9515
212	2571	9502
213	2582	9486
214	2594	9473
215	2605	9458
216	2617	9444
217	2628	9429
218	2640	9415
219	2651	9400
220	2661	9382
221	2674	9371
222	2680	9338
223	2690	9321
224	2704	9315
225	2715	9301
226	2728	9290
227	2739	9276
228	2751	9263
229	2762	9249
230	2772	9229
231	2785	9220
232	2797	9209
233	2810	9201
234	2824	9193
235	2836	9181
236	2847	9166
237	2859	9153
238	2868	9133
